quiz_part,user_id,timestamp,page_location,engagement_time_msec,engagement_time_sec,diff_time
work,5.0,5.0,5.0,1.0,1.0,5.0
fit,5.0,5.0,5.0,5.0,5.0,5.0
highlight,4.0,4.0,4.0,4.0,4.0,4.0
body-shape,4.0,4.0,4.0,4.0,4.0,4.0
eyes,4.0,4.0,4.0,4.0,4.0,4.0
hair,4.0,3.0,4.0,3.0,3.0,3.0
sizes,4.0,4.0,4.0,3.0,3.0,4.0
measurements,3.0,3.0,3.0,2.0,2.0,3.0
focus,3.0,3.0,3.0,3.0,3.0,3.0
adventurous,3.0,2.0,3.0,1.0,1.0,2.0
styles,3.0,3.0,3.0,3.0,3.0,3.0
prices,3.0,3.0,3.0,3.0,3.0,3.0
avoid,3.0,3.0,3.0,3.0,3.0,3.0
footwear,3.0,3.0,3.0,3.0,3.0,3.0
you,3.0,3.0,3.0,3.0,3.0,3.0
photos,3.0,3.0,3.0,3.0,3.0,3.0
register,,,,,,
